Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\ArtifactView.App\ArtifactView.App.csproj,File,src\ArtifactView.App\ArtifactView.App.csproj,,,Microsoft.Extensions.Logging 8.0.1,,,,,"Microsoft.Extensions.Logging, 8.0.1  Recommendation:  Remove Microsoft.Extensions.Logging, and replace with new package Microsoft.Extensions.Logging 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\ArtifactView.App\ArtifactView.App.csproj,File,src\ArtifactView.App\ArtifactView.App.csproj,,,Microsoft.Extensions.Logging.Debug 8.0.1,,,,,"Microsoft.Extensions.Logging.Debug, 8.0.1  Recommendation:  Remove Microsoft.Extensions.Logging.Debug, and replace with new package Microsoft.Extensions.Logging.Debug 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\ArtifactView.App\ArtifactView.App.csproj,File,src\ArtifactView.App\ArtifactView.App.csproj,,,,,,,,Current target framework: net8.0-windows Recommended target framework: net10.0-windows
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\ArtifactView.App\ArtifactView.App.csproj,File,src\ArtifactView.App\obj\Debug\net8.0-windows\GeneratedInternalTypeHelper.g.i.cs,19,76,M:System.Windows.Markup.InternalTypeHelper.#ctor,,,,,InternalTypeHelper
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\ArtifactView.App\ArtifactView.App.csproj,File,src\ArtifactView.App\obj\Debug\net8.0-windows\GeneratedInternalTypeHelper.g.i.cs,19,76,T:System.Windows.Markup.InternalTypeHelper,,,,,InternalTypeHelper
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\ArtifactView.App\ArtifactView.App.csproj,File,src\ArtifactView.App\Views\FullscreenViewerWindow.xaml.cs,363,4,T:System.Windows.Input.MouseWheelEventArgs,,,,,protected override void OnMouseWheel(MouseWheelEventArgs e)
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\ArtifactView.App\ArtifactView.App.csproj,File,src\ArtifactView.App\Views\FullscreenViewerWindow.xaml.cs,376,8,P:System.Windows.RoutedEventArgs.Handled,,,,,e.Handled = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\ArtifactView.App\ArtifactView.App.csproj,File,src\ArtifactView.App\Views\FullscreenViewerWindow.xaml.cs,371,13,P:System.Windows.Input.MouseWheelEventArgs.Delta,,,,,if (e.Delta < 0 && _currentIndex < _rows.Count - 1)         {             _currentIndex++;             _ = LoadCurrentAsync();         }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\ArtifactView.App\ArtifactView.App.csproj,File,src\ArtifactView.App\Views\FullscreenViewerWindow.xaml.cs,366,8,P:System.Windows.Input.MouseWheelEventArgs.Delta,,,,,if (e.Delta > 0 && _currentIndex > 0)         {             _currentIndex--;             _ = LoadCurrentAsync();         }         else if (e.Delta < 0 && _currentIndex < _rows.Count - 1)         {             _currentIndex++;             _ = LoadCurrentAsync();         }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\ArtifactView.App\ArtifactView.App.csproj,File,src\ArtifactView.App\Views\FullscreenViewerWindow.xaml.cs,365,8,M:System.Windows.UIElement.OnMouseWheel(System.Windows.Input.MouseWheelEventArgs),,,,,base.OnMouseWheel(e);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\ArtifactView.App\ArtifactView.App.csproj,File,src\ArtifactView.App\Views\FullscreenViewerWindow.xaml.cs,310,4,T:System.Windows.Input.KeyEventArgs,,,,,"private void OnKeyDown(object sender, KeyEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\ArtifactView.App\ArtifactView.App.csproj,File,src\ArtifactView.App\Views\FullscreenViewerWindow.xaml.cs,358,8,P:System.Windows.RoutedEventArgs.Handled,,,,,e.Handled = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\ArtifactView.App\ArtifactView.App.csproj,File,src\ArtifactView.App\Views\FullscreenViewerWindow.xaml.cs,314,8,T:System.Windows.Input.Key,,,,,switch (e.Key)         {             case Key.Escape: Close(); break;              case Key.Z:                 if (_isFitMode) EnterZoomMode(1.0);                 else { _isFitMode = true; ApplyMode(); }                 break;              case Key.OemPlus:             case Key.Add:                 EnterZoomMode((_isFitMode ? GetFitScale() : _zoomLevel) * 1.25);                 break;              case Key.OemMinus:             case Key.Subtract:                 EnterZoomMode((_isFitMode ? GetFitScale() : _zoomLevel) / 1.25);                 break;              case Key.Left:             case Key.Up:                 if (_currentIndex > 0) { _currentIndex--; _ = LoadCurrentAsync(); }                 break;              case Key.Right:             case Key.Down:             case Key.Return:                 if (_currentIndex < _rows.Count - 1) { _currentIndex++; _ = LoadCurrentAsync(); }                 break;              // Cycle image versions: full → EXIF thumbnail → Thumbs.db cache → full …             case Key.Tab:                 if (_versions.Count > 1)                 {                     _versionIndex = (_versionIndex - 1 + _versions.Count) % _versions.Count;                     ShowVersion();                 }                 break;              // Rotate the display — does not modify source pixels.             case Key.L: Rotate(-90); break;             case Key.R: Rotate(90);  break;         }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\ArtifactView.App\ArtifactView.App.csproj,File,src\ArtifactView.App\Views\FullscreenViewerWindow.xaml.cs,314,8,T:System.Windows.Input.Key,,,,,switch (e.Key)         {             case Key.Escape: Close(); break;              case Key.Z:                 if (_isFitMode) EnterZoomMode(1.0);                 else { _isFitMode = true; ApplyMode(); }                 break;              case Key.OemPlus:             case Key.Add:                 EnterZoomMode((_isFitMode ? GetFitScale() : _zoomLevel) * 1.25);                 break;              case Key.OemMinus:             case Key.Subtract:                 EnterZoomMode((_isFitMode ? GetFitScale() : _zoomLevel) / 1.25);                 break;              case Key.Left:             case Key.Up:                 if (_currentIndex > 0) { _currentIndex--; _ = LoadCurrentAsync(); }                 break;              case Key.Right:             case Key.Down:             case Key.Return:                 if (_currentIndex < _rows.Count - 1) { _currentIndex++; _ = LoadCurrentAsync(); }                 break;              // Cycle image versions: full → EXIF thumbnail → Thumbs.db cache → full …             case Key.Tab:                 if (_versions.Count > 1)                 {                     _versionIndex = (_versionIndex - 1 + _versions.Count) % _versions.Count;                     ShowVersion();                 }                 break;              // Rotate the display — does not modify source pixels.             case Key.L: Rotate(-90); break;             case Key.R: Rotate(90);  break;         }
